,age,latitude,longitude,genotype
923,4942,53.073,-3.2134,0
924,5700,51.56105,-1.445923,0
925,5600,50.828981,-0.112825,0
926,5100,37.1907,61.0343,0
927,5100,37.1907,61.0343,0
928,5100,37.1907,61.0343,0
929,5100,37.1907,61.0343,0
930,5100,37.1907,61.0343,0
931,5100,37.1907,61.0343,0
932,5100,37.1907,61.0343,0
933,5100,37.1907,61.0343,0
934,9973,34.45,48.116,0
935,10093,34.45,48.116,0
936,8166,56.03622222,69.33886111,0
937,7906,36.9944,45.4744,2
938,5530,36.15444444,54.38361111,0
939,4846,36.15444444,54.38361111,0
940,4621,36.15444444,54.38361111,0
941,4341,36.15444444,54.38361111,0
942,4062,36.15444444,54.38361111,0
943,4707,36.15444444,54.38361111,0
944,4724,36.15444444,54.38361111,0
945,4724,36.15444444,54.38361111,0
946,4413,36.15444444,54.38361111,0
947,5450,37.872,58.225,0
948,5450,37.872,58.225,0
949,5450,37.872,58.225,0
950,7908,36.9944,45.4744,0
951,5068,38.348048,56.24543,0
952,7756,36.9944,45.4744,0
953,7925,36.9944,45.4744,0
954,5044,38.348048,56.24543,0
955,5450,38.348048,56.24543,0
956,5529,39.50722222,67.46083333,0
957,6057,57.35888889,65.365,0
958,4946,38.348048,56.24543,0
959,4550,38.348048,56.24543,0
960,4139,38.348048,56.24543,0
961,4959,37.1907,61.0343,0
962,5168,37.1907,61.0343,0
963,5100,37.1907,61.0343,0
964,3904,45.26,10.379,0
965,4833,57.78,25.23,0
966,5181,37.372778,59.556944,0
967,5181,37.372778,59.556944,0
968,5150,37.372778,59.556944,0
969,4300,32.974167,35.331389,0
970,4300,32.974167,35.331389,0
971,4300,32.974167,35.331389,0
972,4300,32.974167,35.331389,0
973,4300,32.974167,35.331389,0
974,4300,32.974167,35.331389,0
975,4300,32.974167,35.331389,2
976,4300,32.974167,35.331389,0
977,4300,32.974167,35.331389,0
978,4300,32.974167,35.331389,0
979,4300,32.974167,35.331389,0
980,4300,32.974167,35.331389,0
981,4300,32.974167,35.331389,2
982,4300,32.974167,35.331389,0
983,4300,32.974167,35.331389,0
984,4300,32.974167,35.331389,0
985,4638,59.09981,25.357531,0
986,4638,59.09981,25.357531,0
987,4400,59.13824,26.03526,0
988,4408,58.33,26.15,0
989,3846,52.66,18.88,0
990,5463,52.62,18.96,0
991,5462,52.62,18.96,2
992,6291,52.61,18.9,0
993,6300,52.61,18.8,0
994,6151,50.67,21.38,0
995,6074,52.61,18.8,0
996,6138,52.61,18.8,0
997,6300,50.67,21.38,0
998,5033,52.61,18.9,0
999,4405,52.62,18.96,0
1000,4405,52.62,18.96,0
1001,4405,52.62,18.96,0
1002,4405,52.62,18.96,0
1003,5135,57.51,18.16,0
1004,5090,57.51,18.16,2
1005,5080,57.51,18.16,0
1006,5190,57.76,-3.91,0
1007,6775,50.03,15.2,0
1008,5450,59.16,-3.1,0
1009,5675,54.39,-8.52,0
1010,5460,54.39,-8.52,0
1011,5380,54.39,-8.52,0
1012,5450,54.39,-8.52,0
1013,5560,54.39,-8.52,0
1014,5132,54.54,-5.96,0
1015,3906,55.29,-6.19,2
1016,3833,55.29,-6.19,0
1017,3585,55.29,-6.19,2
1018,3750,33.34449,35.353291,0
1019,3650,33.34449,35.353291,0
1020,3750,33.34449,35.353291,2
1021,3650,33.34449,35.353291,0
1022,3700,33.34449,35.353291,0
1023,4740,57.29,18.13,0
1024,4495,58.419844,15.59725,2
1025,4510,58.419844,15.59725,0
1026,4240,58.37085,26.71472,0
1027,3790,56.007601,14.093871,0
1028,5080,60.263623,16.408298,0
1029,4900,49.13,75.85,0
1030,4950,41.35,13.35,0
1031,7629,41.96,13.54,0
1032,9125,41.96,13.54,0
1033,7224,43.716,13.099,0
1034,7984,41.96,13.54,0
1035,7730,41.96,13.54,0
1036,4865,41.96,13.54,2
1037,4840,41.96,13.54,0
1038,10682,41.96,13.54,0
1039,7724,41.96,13.54,0
1040,7496,41.96,13.54,0
